UKBB_code,UKBB_description,ATC_code
1140867888,paroxetine,N06A
1140870570,vitamin b12 preparation,B03B
1140879464,loperamide,A07D
1140910766,nicorandil,C01D
1140888386,iron product,B03A
1141171948,adcal 600mg chewable tablet,A12A
1140888688,betahistine,N07C
1140862086,salamol 100micrograms inhaler,R03A
1140860834,glyceryl trinitrate,C01D
1140883748,selenium product,D01A
1140868472,vagifem 25mcg pessary,G03C
1141152732,mirtazapine,N06A
1140873548,oxytetracycline,J01A
1141146198,xalatan 0.005% eye drops,S01E
1140926732,meloxicam,M01A
1140884412,sumatriptan,N02C
1140863152,diazepam,N05B
1140874852,thyroxine sodium,H03A
1140862476,beclazone 50 inhaler,R01A
1140865800,lactulose product,A06A
1141153026,lercanidipine,C08C
1140862148,serevent 25mcg inhaler,R03A
2038459814,digoxin,C01A
1140862144,salmeterol,R03A
1141182628,tiotropium,R03B
1141182800,cerazette 75micrograms tablet,G03A
1140861088,nifedipine,C08C
1140879774,alfuzosin,G04C
1140861090,adalat 5mg capsule,C08C
1140870856,calcichew 1.25g chewable tablet,A12A
1141200004,pregabalin,N03A
1140883568,oxybutynin,G04B
1140862168,bricanyl 250mcg inhaler,R03C
1141146188,latanoprost,S01E
1141171646,pioglitazone,A10B
1140872072,tegretol 100mg tablet,N03A
1140869930,azathioprine,L04A
1140862572,budesonide,R01A
1140879430,domperidone,A03F
1140879806,diltiazem,C08D
1140888172,mometasone,R01A
1140927328,terbinafine,D01B
1140865716,senna,A06A
1140863202,temazepam,N05C
1141157126,montelukast product,R03D
1141162764,tolterodine l-tartrate,G04B
1140861128,tildiem 60mg m/r tablet,C08D
1141156644,elleste duet conti tablet,G03C
1141168936,sildenafil,G04B
1141175684,risedronate sodium,M05B
1140866236,spironolactone,C03D
1141192916,rino clenil 50micrograms nasal spray,R01A
1140879818,metoprolol,C07F
1140909702,sulfasalazine,A07E
1140929012,pantoprazole,A02B
1141181700,estradiol product,G03C
1141192740,ezetrol 10mg tablet,C10A
1140874896,hydrocortisone,D07A
1140875990,hypromellose,B05X
1140861778,dipyridamole,B01A
1141164086,salmeterol+fluticasone propionate,R03A
1141146606,calcium carbonate+cholecalciferol 1.25g/200iu tablet,A12A
1141168584,rabeprazole sodium,A02B
1140888510,verapamil,C08D
1141200322,solifenacin,G04B
1141180212,escitalopram,N06A
1140866116,frusemide,C03C
1140923022,arimidex 1mg tablet,L02B
1140868482,tibolone,G03C
1140923852,elleste-solo 1mg tablet,G03C
1141177532,nexium 20mg tablet,A02B
1140888570,flecainide,C01B
1140923670,gtn - glyceryl trinitrate,C01D
1140864286,flixotide 25micrograms inhaler,R01A
1140872200,epilim 100mg crushable tablet,N03A
1140921814,mirena 52mg intrauterine system,G03A
1140911658,imigran 50mg tablet,N02C
1141166006,telmisartan,C09D
1140874790,betamethasone,S01B
1140884308,hydroxychloroquine,P01B
1140916790,evorel 25 patch,G03C
2038459704,carbamazepine,N03A
1141157486,salbutamol product,R03A
1140862628,piriton 4mg tablet,R06A
1140881472,lacri-lube eye ointment,A06A
1140862574,pulmicort ls 50micrograms inhaler,R01A
1141162824,detrusitol 1mg tablet,G04B
1140882782,dermovate cream,D07A
1140879854,sotalol,C07A
1140926592,estraderm mx 25 patch,G03C
1140879792,terbutaline,R03C
1140883664,pizotifen,N02C
1140865350,fybogel mebeverine sachet,A03A
1141177600,rosiglitazone,A10B
1140865580,asacol 400mg e/c tablet,A07E
1141182632,spiriva 18micrograms inhalation capsule,R03B
1140921822,mirena 20mcg/24hrs intrauterine system,G03A
1140865578,mesalazine,A07E
1140861954,fenofibrate,C10A
1140888366,thiamine preparation,A11D
1140871266,arthrotec tablet,M01A
1140869276,micronor tablet,G03A
1140868170,prochlorperazine,N05A
1140879634,trazodone,N06A
1140861832,tranexamic acid,B02A
1141188146,simvador 10mg tablet,C10B
1141172924,desloratadine,R06A
1140867876,prozac 20mg capsule,N06A
1140882946,livial 2.5mg tablet,G03C
1141187810,tadalafil,G04B
1141181868,omacor 1g capsule,C10A
1140882236,seroxat 20mg tablet,N06A
1140911682,selenium ace tablet,D01A
1141168554,migraleve tablet,N02C
1140883468,clonidine,C02L
1140868372,climaval 1mg tablet,G03C
1140872290,lamotrigine,N03A
1141176570,fosamax 5mg tablet,M05B
1141193282,olmesartan,C09D
1140928916,olanzapine,N05A
1141167334,colofac-100 tablet,A03A
1140879494,metoclopramide,A03F
1141179992,dovobet ointment,D05A
1140883548,ipratropium,R01A
1140921828,dicloflex 25mg e/c tablet,M01A
1141168680,orlistat,A08A
1140909874,vitamin b6 preparation,A11H
1141172928,neoclarityn 5mg tablet,R06A
1141151718,evorel conti patch,G03C
1141179974,cozaar 25mg tablet,C09D
1141156846,amias 2mg tablet,C09C
1140875420,baclofen,M03B
1140871542,mefenamic acid,M01A
1140861276,lacidipine,C08C
1140882800,eumovate cream,S01B
1140923018,anastrozole,L02B
1141176662,celecoxib,M01A
1140873966,trimethoprim,J01E
1141200384,vesicare 5mg tablet,G04B
1141152590,glimepiride,A10B
1140870862,calcichew forte 2.5g chewable tablet,A12A
1140874686,glucophage 500mg tablet,A10B
1140872198,sodium valproate,N03A
1140862236,atrovent 20micrograms inhaler,R01A
1141145668,diovan 40mg capsule,C09D
1140861924,bezafibrate,C10A
1140860840,nitrolingual 400micrograms spray,C01D
1140867490,lithium product,N05A
1140873394,doxycycline,J01A
1140861138,adizem-60 m/r tablet,C08D
1141169520,cosopt 2%/0.5% eye drops,S01E
1140870956,alfacalcidol,A11C
1140865752,ispaghula husk,A06A
1141180314,ibandronic acid,M05B
2038460076,phenytoin,N03A
1141171152,cardicor 1.25mg tablet,C07A
1141168684,xenical 120mg capsule,A08A
1141200564,duloxetine,N06A
1141150624,zomig 2.5mg tablet,N02C
1141150620,zolmitriptan,N02C
1140928284,moxonidine,C02L
1141157252,glyceryl trinitrate product,C01D
1141153006,aprovel 75mg tablet,C09C
1141180140,etoricoxib,M01A
1140879404,docusate sodium,A06A
1141190158,cipralex 5mg tablet,N06A
1140888502,amiodarone,C01B
1141164276,nebivolol,C07A
1140910494,b12 - hydroxocobalamin prep,B03B
1140861120,coracten sr 10mg m/r capsule,C08C
1141173348,hydroxocobalamin,B03B
1141151016,losartan potassium+hydrochlorothiazide 50mg/12.5mg tablet,C09D
1140909788,sodium cromoglicate,R03A
1140862776,clarityn 10mg tablet,R06A
1140927086,arthrotec 50 tablet,M01A
1140874866,carbimazole,H03B
1140881702,adalate 10mg capsule,C08C
1140866280,bumetanide,C03C
1141180226,amoxicillin,A02B
1140874370,aciclovir,D06B
1141176668,celebrex 100mg capsule,M01A
1140910832,sodium warfarin,B01A
1141175690,actonel 5mg tablet,M05B
1141192000,dutasteride,G04C
1141167932,rizatriptan,N02C
1141145896,letrozole,L02B
1140865426,cimetidine,A02B
1140867726,lofepramine,N06A
1140869034,ortho-gynest 500micrograms pessary,G03C
1140875840,timolol 0.25% eye drops,S01E
1140909578,losec 10mg capsule,A02B
1140882394,paracetamol + codeine,N02B
1140879866,timolol,S01E
1140872150,clonazepam,N03A
1141179920,lumigan 0.3mg/ml eye drops,S01E
1140926922,antihistamine 60mg tablet,R06A
1140909368,carvedilol,C07A
1140869362,femulen tablet,G03D
1140909766,multivitamins capsule,A11A
1141185326,travatan 40micrograms/ml eye drops,S01E
1140926780,adizem-xl plus m/r capsule,C08D
1141151284,naratriptan,N02C
1140871188,etodolac,M01A
1141157132,singulair 10mg tablet,R03D
1140873608,erythromycin,D10A
1140869278,noriday tablet,G03A
1141194386,telfast 30 tablet,R06A
1140911754,anadin tablet,M01A
1140928274,ropinirole,N04B
1140857620,depo-provera 50mg/1ml injection,G03A
1141157294,hydrocortisone product,D07A
1141179914,bimatoprost,S01E
1140871472,naprosyn 250mg tablet,M01A
1141195232,budesonide+formoterol,R01A
1140869036,ovestin 0.1% vaginal cream,G03C
1140871732,buprenorphine,N07B
1141180342,beclometasone dipropionate+salbutamol,R01A
1140923688,zoton 15mg capsule,A02B
1141151288,naramig 2.5mg tablet,N02C
1140864950,bisoprolol fumarate+hydrochlorothiazide 10mg/6.25mg tablet,C07A
1140888092,elocon cream,R01A
1141180936,calcium carbonate+colecalciferol 1.25g/5micrograms tablet,A12A
1140882910,daktacort cream,D07A
1141192414,crestor 10mg tablet,C10B
1140879620,clomipramine,N06A
1140878036,diclofenac sodium+misoprostol,M01A
1140868532,testosterone product,G03B
1140868364,prednisone,H02A
1140867818,nortriptyline,N06A
1140909482,opticrom allergy eye drops,R03A
1140865016,zolpidem,N05C
1140865588,pentasa sr 250mg m/r tablet,A07E
1140909936,indometacin,M01A
1140865336,spasmonal 60mg capsule,A03A
1141168574,raloxifene hydrochloride,G03X
1141152848,quetiapine,N05A
1141146612,calceos chewable tablet,A11C
1140868172,stemetil 5mg tablet,N05A
1141199858,cardioplen xl 5mg m/r tablet,C08C
1140882498,penicillin,J01C
1140874126,nitrofurantoin,J01X
1140884700,trimovate ointment,S01B
1140927730,epaderm ointment,S01B
1141187814,cialis 10mg tablet,G04B
1140880086,calcipotriol,D05A
1140871692,morphine,N02A
1141191748,respiratory mometasone,R01A
1141184748,levocetirizine,R06A
1141193346,olmetec 10mg tablet,C09D
1140863182,nitrazepam,N05C
1140879424,alverine,A03A
1140877892,voltarol emulgel,M01A
1140860904,trandolapril,C09B
1141187776,nurofen 200mg tablet,M01A
1141157264,salmeterol product,R03A
1140871336,indomethacin,M01A
1140923484,topiramate,N03A
1140861780,persantin 25mg tablet,B01A
1141168590,pariet 10mg e/c tablet,A02B
1140909790,chlorphenamine,R06A
1141171336,eprosartan,C09C
1140862944,carbocisteine,R05C
1140868580,norethisterone,G03A
1140870196,zoladex 3.6mg implant,L02A
1140865670,salazopyrin 500mg tablet,A07E
1141174032,doublebase gel,A06A
1140870306,iron+folic acid,B03A
1140888762,ismn - isosorbide mononitrate,C01D
1141180392,cefalexin,J01D
1140866026,creon e/c granules in capsule,A09A
1140862380,becloforte 250micrograms inhaler,R01A
1141157458,hypromellose product,S01K
1140865668,sulphasalazine,A07E
1140867444,risperidone,N05A
1140873474,lymecycline,J01A
1140864184,dovonex 50micrograms/g cream,D05A
1140916980,zantac 75 tablet,A02B
1140883524,cinnarizine,N07C
1140860690,cardura 1mg tablet,C02C
1140879630,imipramine,N06A
1140875486,colchicine,M04A
1140888758,penicillin v,J01C
1140882728,otomize ear spray,R01A
1140865564,imodium 2mg capsule,A07D
1141176288,azopt 10mg/ml eye drops,S01E
1140877630,calcium+ergocalciferol tablet,A11C
1140888594,fluvastatin,C10A
1140917034,airomir 100micrograms cfc-free inhaler,R03A
1141167940,maxalt 5mg tablet,N02C
1140916288,efexor 37.5mg tablet,N06A
1140925978,mycophenolate,L04A
1140862438,uniphyllin continus 200mg m/r tablet,R03D
1141171496,trospium,A03D
1140884622,oestrogen product,G03C
1141181594,estriol product,G03C
1141164060,pramipexole,N04B
1141168322,plavix 75mg tablet,B01A
1140888556,fosinopril,C09A
1140911642,tacrolimus,L04A
1140860750,captopril,C09B
1140910548,iron sulphate,B03A
1141171100,exemestane,L02B
1141169844,dexamethasone+hypromellose 0.1%/0.5% eye drops,R01A
1141145638,nasobec aqueous 50micrograms nasal spray,R01A
1140865786,bisacodyl,A06A
1140851088,senokot 7.5mg tablet,A06A
1141171932,levetiracetam,N03A
1141166294,leflunomide,L04A
1140861166,dilzem sr 60mg long acting m/r capsule,C08D
1140860728,quinapril,C09A
1140910814,sodium thyroxine,H03A
1140888390,ferrous salt product,B03A
1140871052,calcium carbonate+cholecalciferol 1.25g/5micrograms tablet,A12A
1140875336,nabumetone,M01A
1140926940,flomax mr 400micrograms m/r capsule,G04C
1140884672,fludrocortisone,H02A
1141146508,nasacort 55micrograms aqueous nasal spray,R03B
1140875392,plaquenil 200mg tablet,P01B
1140871196,lodine 200mg tablet,M01A
1141195044,hydroxycarbamide,L01X
1141189090,rosiglitazone 1mg / metformin 500mg tablet,A10B
1141185316,travoprost,S01E
1140923738,femseven 50 patch,G03C
1140864734,combivent inhaler,R03A
1140883476,procyclidine,N04A
1140868460,progynova 1mg tablet,G03C
1141153032,zanidip 10mg tablet,C08C
1141176284,brinzolamide,S01E
1141194224,allergy relief antihistamine 4mg tablet,R06A
1140909872,vitamin b1 preparation,B03B
1140873480,minocycline,J01A
1141168108,isotard 25xl m/r tablet,C01D
1141188658,asacol mr 400mg e/c tablet,A07E
1141189094,avandamet 1mg / 500mg tablet,A10B
1141193272,testogel 50mg gel 5g sachet,G03B
1140888512,amiloride,C03D
1140881446,proctosedyl ointment,D07A
1140868080,cyclizine,R06A
1140873476,tetralysal 300 capsule,J01A
1141176670,celebrex 200mg capsule,M01A
1141157402,prednisolone product,S01B
1140872492,nicotine product,N07B
1140862060,ventolin 2mg tablet,R03A
1140874014,metronidazole,P01A
1141187818,cialis 20mg tablet,G04B
1141180148,arcoxia 60mg tablet,M01A
1140872694,flucloxacillin,J01C
1140876146,rhinocort 50micrograms nasal spray,R01A
1140874138,ciprofloxacin,J01R
1141157178,senna product,A06A
1140860976,imdur 60mg durule,C01D
1140862266,phyllocontin continus 225mg m/r tablet,R03D
1140868426,triamcinolone,R03B
1140852756,vitamin a,D10A
1140879798,terazosin,G04C
1140866800,half-inderal la 80mg m/r capsule,C07A
1140864952,lisinopril+hydrochlorothiazide 10mg/12.5mg tablet,C09B
1140861202,istin 5mg tablet,C08C
1140865872,magnesium citrate,A06A
1140864472,xatral 2.5mg tablet,G04C
1140863302,lorazepam,N05B
1140923572,adipine mr 10 m/r tablet,C08C
1140860802,coversyl 2mg tablet,N02A
1140879658,chlorpromazine,N05A
1140871666,piroxicam,M02A
1140911698,slozem 120mg m/r capsule,C08D
1140879628,dothiepin,N06A
1140868588,progesterone product,G03D
1141166200,implanon 68mg subdermal implant,G03A
1140879392,manevac granules,A06A
1140862952,mucodyne 375mg capsule,R05C
1141200108,cymalon cranberry 1.5g/5ml liquid,B05C
1140917428,angitil sr 90 m/r capsule,C08D
1140910498,flu - influenza vaccine,J07B
1140865654,codeine phosphate+kaolin 10mg/3g/10ml mixture,N02A
1141151946,cipramil 10mg tablet,N06A
1140910512,ismo - isosorbide mononitrate,C01D
1140883656,hydroxyzine,N05B
1141190960,tramacet 325mg/37.5mg tablet,N02A
1141168946,viagra 50mg tablet,G04B
1140884696,clobetasone,S01B
1140873642,azithromycin,J01F
1141179764,tenofovir,J05A
1140909954,acyclovir,D06B
1141190160,vascalpha 5mg m/r tablet,C08C
1141164872,sinemet-62.5 tablet,C01C
1140928878,zumenon 1mg tablet,G03C
1140881320,magnesium carbonate,A06A
1141166086,rennie duo oral suspension,A12A
1141200072,lyrica 25mg capsule,N03A
1141173328,ursodeoxycholic acid,A05A
1140928004,zimovane ls 3.75mg tablet,N05C
1140868772,didronel 200mg tablet,M05B
1141168948,viagra 100mg tablet,G04B
1141167708,beclomist 50micrograms nasal spray,R01A
1141168944,viagra 25mg tablet,G04B
1140888362,pyridoxine preparation,A11H
1140867998,motilium 10mg tablet,A03F
1141157494,ispaghula husk product,A06A
1140865394,hyoscine butylbromide,A04A
1141200708,strontium product,V10B
1140922714,dorzolamide,S01E
1140869370,norgeston tablet,G03A
1140861936,questran 4g/sachet powder,C10A
1141171940,keppra 250mg tablet,N03A
1140871506,ketoprofen,M01A
1141157418,budesonide product,R01A
1141150750,brimonidine tartrate,S01E
1140865382,merbentyl 10mg tablet,A03A
1141195224,formoterol,R03A
1141174508,reductil 10mg capsule,A08A
1141172838,depakote 250mg e/c tablet,N03A
1140878172,tears naturale eye drops,S01K
1141168578,evista 60mg tablet,G03X
1140870512,cyanocobalamin product,B03B
2038460068,phenobarbitone,N03A
1141180662,zirtek allergy 10mg tablet,R06A
1141172492,micardis 20mg tablet,C09C
1140880072,gamolenic acid,D11A
1141172698,monomax xl 60mg m/r tablet,C01D
1140879644,amantadine,N04B
1140868064,serc-8 tablet,N07C
1141153242,balsalazide disodium,A07E
1140877826,sodium bicarbonate,B05X
1140873450,tetracycline,D06A
1140882272,oramorph 10mg/5ml oral solution,N02A
1141145630,nitromin 400micrograms cfc-free spray,C01D
1141188594,humira 40mg injection solution 0.8ml prefilled syringe,L04A
1140879762,celiprolol,C07A
1140862770,zirtek 10mg tablet,R06A
1141180150,arcoxia 90mg tablet,M01A
1140865816,anusol cream,D07A
1141192248,vardenafil,G04B
1141164068,mirapexin 0.088mg tablet,N04B
1140874718,glibenclamide,A10B
1140860790,enalapril maleate+hydrochlorothiazide 20mg/12.5mg tablet,C09B
1141187230,care cetirizine hayfever relief 10mg tablet,R06A
1141151018,cozaar-comp 50mg/12.5mg tablet,C09D
1140888074,clobetasol,D07A
1140878530,canesten 1% cream,D01A
1140865000,zydol 50mg capsule,N02A
1140912228,b12 - cyanocobalamin prep,B03B
1141200768,protelos 2g sachets,M05B
1140913292,synalar 1:10 cream,D07A
1140884560,nefopam,N02B
1140866466,securon 40mg tablet,C08D
1141172682,irbesartan+hydrochlorothiazide 150mg/12.5mg tablet,C09C
1141171038,oxycodone hydrochloride,N02A
1140910706,phenobarbital,N03A
1140874816,dexamethasone,R01A
1140883520,chlorpheniramine,R06A
1140880288,clotrimazole,D01A
1140866804,inderal 10mg tablet,C07A
1141178036,eltroxin 25micrograms tablet,H03A
1140854076,macrogol ointment,A06A
1140880956,fentanyl,N01A
1140878512,capasal shampoo,S01B
1140871984,dixarit 25mcg tablet,N02C
1140879782,indoramin,C02C
1140868816,desmopressin,H01B
1140868192,buccastem 3mg tablet,N05A
1140884512,liothyronine,H03A
1140883706,nedocromil,R01A
1140867948,amitriptyline hydrochloride+perphenazine 10mg/2mg tablet,N06A
1140872058,migril tablet,N02C
1140870504,hydroxocobalamin product,B03B
1140864566,cabergoline,G02C
1141172728,almotriptan,N02C
1140872590,phenoxymethylpenicillin,J01C
1140868456,oestradiol product,G03C
1141194800,bendroflumethiazide+potassium 2.5mg/7.7mmol m/r tablet,C03A
1141164616,protium 20mg e/c tablet,A02B
1140888176,mometasone furoate 0.1% ointment,R01A
1140882722,maxidex eye drops,R01A
1140864966,salbutamol+ipratropium 100micrograms/20micrograms inhaler,R03A
1140861008,isosorbide dinitrate,C01D
1141192004,avodart 500micrograms capsule,G04C
1141157324,loratadine product,R06A
1140911750,deep relief ibuprofen gel,M01A
1141146378,natrilix sr 1.5mg m/r tablet,C03B
1140881938,beclomethasone dipropionate+salbutamol,R01A
1140855380,salbuvent 100micrograms inhaler,R03A
1141169516,dorzolamide+timolol,S01E
1140878378,dovonex 50micrograms/g ointment,D05A
1140862760,acrivastine,R06A
1141145900,femara 2.5mg tablet,L02B
1140873634,clarithromycin,A02B
1141180592,perindopril+indapamide,C09B
1141150754,alphagan 0.2% eye drops,S01E
1140853200,bromelains,M09A
1140928384,ritonavir,J05A
1141191312,calfovit d3 powder for oral suspension,A11C
1141153236,oxis 6micrograms turbohaler,R03A
1140868406,conjugated oestrogens,G03C
1140868120,trifluoperazine,N05A
1141157364,metronidazole product,P01A
1140910884,dovonex scalp solution,D05A
1140862810,phenergan 10mg tablet,R06A
1140870932,ascorbic acid product,A11G
1141180598,coversyl plus 4mg/1.25mg tablet,N02A
1141151368,sandrena 0.5mg gel,G03C
1140888438,glucose product,V06D
1140871138,vitamin k product,B02B
1140865618,nizatidine,A02B
1141162544,lipantil micro 67mg capsule,C10A
1141153490,amisulpride,N05A
1141194852,dicycloverine,A03A
1141194810,atenolol+bendroflumethiazide,C07A
1141179830,piriteze 10mg tablet,R06A
1141162526,benadryl allergy relief 8mg capsule,R06A
1141157412,ibuprofen product,M01A
1140917306,bicalutamide,L02B
1140909780,colestyramine,C10A
1140880462,metrogel 0.75% gel,P01A
1140879668,selegiline,N04B
1140862260,aminophylline,R03D
1140871986,clonidine hydrochloride 25micrograms tablet,C02L
1141179846,protopic 0.03% ointment,L04A
1141163114,modafinil,N06B
1140917394,diclomax sr 75mg m/r capsule,M01A
1140883500,azelastine,R06A
1140871180,rhumalgan 25mg e/c tablet,M01A
1141174424,solaraze 3% gel,M01A
1140874646,glipizide,A10B
1140862026,ciprofibrate,C10A
1141173342,folinic acid,V03A
1141151474,viazem xl 120mg m/r capsule,C08D
1141171652,actos 15mg tablet,A10B
1140923920,volsaid retard 75mg m/r tablet,M01A
1140882082,promethazine product,R06A
1140872302,lamictal 25mg tablet,N03A
1140863098,sudafed 60mg tablet,R06A
1140861996,salbulin 100micrograms inhaler,R03A
1140922718,trusopt 2% ophthalmic solution,S01E
1140882852,locoid 0.1% cream,D07A
1140882756,timodine cream,D07A
1140875816,pilocarpine,S01E
1140867624,prothiaden 25mg capsule,N06A
1140865338,alverine citrate+sterculia 0.5%/62% granules,A03A
1141168660,repaglinide,A10B
1141157254,isosorbide mononitrate product,C01D
1140909354,motifene 75mg e/c+m/r capsule,M01A
1140877988,teoptic 1% eye drops,S01E
2038459888,cyclosporin,S01X
1141152228,elleste-solo mx 40 patch,G03C
1140883478,pyridostigmine,N07A
1140863268,clobazam,N05B
1140862016,ventodisks 200micrograms/blister disks+diskhaler,R03A
1140861928,bezalip-mono 400mg m/r tablet,C10A
1140852766,vitamin a+d capsule,D10A
1141201244,eplerenone,C03D
1141177826,micropirin 75mg e/c tablet,N02B
1140876098,otrivine 0.1% nasal drops,R06A
1140871374,brufen 200mg tablet,M01A
1140878328,hydromol cream,D02A
1140862722,nytol 25mg tablet,R06A
1141200640,easyhaler salbutamol 100mcg breath-actuated dry powder inh,R03A
1141157470,fentanyl product,N01A
1140888184,mometasone furoate 0.1% lotion,R01A
1140880264,ketoconazole 2% shampoo,D01A
1140866406,frumil tablet,C03C
1141166746,capsaicin 0.025% cream,M02A
1141157332,sumatriptan product,N02C
1140870296,ferrograd 325mg filmtab,B03A
1140868074,stugeron 15mg tablet,N07C
1141189380,emtricitabine,J05A
1141152098,rinatec 0.03% aqueous nasal spray,R01A
1140917432,rapitil 2% eye drops,R01A
1140869492,ditropan 2.5mg tablet,G04B
1141167744,neoral 10mg capsule,S01X
1141171104,aromasin 25mg tablet,L02B
1140883030,pred forte 1% eye drops,R01A
1140867756,trimipramine,N06A
1141201040,co-diovan 80mg/12.5mg tablet,C09D
1141184722,latanoprost+timolol,S01E
1140928212,plendil 2.5mg m/r tablet,C08C
1140872420,sinemet-ls tablet,C01C
1141201038,valsartan+hydrochlorothiazide 80mg/12.5mg tablet,C09D
1141180152,arcoxia 120mg tablet,M01A
1141193290,lyrinel xl 5mg m/r tablet,G04B
1141173888,xismox xl 60 m/r tablet,C01D
1140926778,diltiazem hcl+hydrochlorothiazide 150mg/12.5mg m/r capsule,C08D
1140909816,trihexyphenidyl,N04A
1140882142,pseudoephedrine,R01B
1141190244,rhinolast 0.1% nasal spray,R06A
1141184752,xyzal 5mg tablet,R06A
1141173346,cortisone,S01B
1140873288,cephalexin,J01D
1140867304,sulpiride,N05A
1141201718,nebido 1000mg/4ml solution for injection,G03B
1141153172,asmasal 100micrograms spacehaler,R03A
1141173814,zoledronic acid,M05B
1141171048,oxycontin 10mg m/r tablet,N02A
1141152860,seroquel 25mg tablet,N05A
1140870852,vitamin a product,D10A
1140862584,pulmicort ls 50micrograms spacer inhaler,R01A
1141157056,mizolastine product,R06A
1140879824,labetalol,C07A
1140877872,voltaren retard 100mg m/r tablet,M01A
1141195280,novolizer budesonide 200micrograms/dose cartridge+inhaler,R01A
1141177606,avandia 4mg tablet,A10B
1141167014,nevirapine,J05A
1140879730,buspirone,N05B
1140876052,syntaris 25micrograms nasal spray,R01A
1140872132,primidone,N03A
1140866756,tenormin 25 tablet,C07A
1140860714,zestril 2.5mg tablet,C09B
1140860470,methyldopa,C02A
1141195974,aripiprazole,N05A
1141171344,teveten 300mg tablet,C09C
1140909876,calciferol,A11C
1140909844,ciclosporin,S01X
1140874746,diamicron 80mg tablet,A10B
1140868508,cyclo-progynova 1mg tablet,G03C
1140867884,lustral 50mg tablet,N06A
1140855562,benadryl 25mg capsule,R06A
1141172214,supralip 160mg m/r tablet,C10A
1141145880,cacit d3 granules,A11C
1140927692,topamax 25mg tablet,N03A
1140880466,amorolfine,D01A
1140879794,prazosin,C02L
1140875452,methocarbamol,M03B
1140867168,haloperidol,N05A
1141188426,gavilast-p 75mg tablet,A02B
1141165518,efavirenz,J05A
1140928338,requip 0.25mg tablet,N04B
1140879476,laxative,A06A
1140871546,ponstan 250mg capsule,M01A
1140863286,atarax 10mg tablet,N05B
1140860836,coro-nitro spray 400micrograms spray,C01D
1141153248,colazide 750mg capsule,A07E
1141153186,tizanidine,M03B
1140870556,slow-k 600mg m/r tablet,A12B
1140869778,efudix cream,L01B
1141189776,monomil xl 60mg m/r tablet,C01D
1141180644,cefradine,J01D
